,Median Age,Median Male Age,Median Female Age,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Household Income,Income Per Capita,Employment Labor Force,Employment Unemployed,Median Gross Rent,Median Home Value,zipcode,lat,lng,city,state,Google_URL,Count
10,30.1,36.5,23.6,870,864,0,0,0,0,0,240,66,8,59,0,0,0,357,21490,14226,342,0,686,50000,24733,37.450768,-81.205194,LASHMEET,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.450768,-81.205194&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",171
11,47.6,46.5,51.8,497,494,0,0,0,15,7,213,58,4,13,0,0,0,91,33125,15479,184,10,336,44000,24736,37.444189,-81.2774,MATOAKA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.444189,-81.2774&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",153
12,35.8,35.8,34,72,72,0,0,0,0,0,18,0,0,0,0,0,0,0,,23092,53,0,,,24737,37.352245,-81.249309,MONTCALM,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.352245,-81.249309&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",131
13,70.7,65.7,71,168,168,0,0,0,0,0,52,0,6,19,6,0,0,18,33831,21396,21,0,415,,24738,37.302041,-81.3097,NEMOURS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.302041,-81.3097&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",135
14,43,41.1,45.7,30588,28739,606,107,293,373,224,6624,1614,1521,2916,947,471,138,5618,39147,23311,12909,664,611,102600,24740,37.373474,-81.005001,PRINCETON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.373474,-81.005001&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",151
15,36.3,35.7,39.1,3091,3041,5,21,0,0,9,752,166,99,103,27,9,14,720,31435,15581,953,39,584,68500,24747,37.378752,-81.299696,ROCK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.378752,-81.299696&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",139
16,36.6,35.9,41,4849,3738,883,24,0,232,6,1023,668,130,154,92,25,0,1208,29209,13714,1123,143,460,45200,24801,37.448883,-81.576989,WELCH,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.448883,-81.576989&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",153
17,47.8,48.9,47.2,634,609,25,0,0,0,0,174,40,15,21,4,0,4,142,30469,17865,203,28,519,36500,24808,37.330026,-81.422403,ANAWALT,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.330026,-81.422403&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",135
18,40.9,40.3,48.4,530,530,0,0,0,0,0,206,66,45,26,0,0,0,150,25455,22982,253,75,,42600,24811,37.399166,-81.771251,AVONDALE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.399166,-81.771251&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",86
19,47.4,46.5,62.4,411,411,0,0,0,0,34,131,69,0,10,0,0,0,140,23618,12800,199,10,,31200,24813,37.357412,-81.720113,BARTLEY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.357412,-81.720113&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",88
20,25.4,23.7,25.7,950,950,0,0,0,0,0,155,102,36,0,13,0,0,575,26076,11743,250,87,520,28100,24815,37.241667,-81.659603,BERWIND,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.241667,-81.659603&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",132
21,80.8,80.4,83.3,185,133,52,0,0,0,0,52,8,0,0,0,0,0,12,35833,20679,12,0,,,24816,37.461102,-81.705939,BIG SANDY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.461102,-81.705939&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",87
22,41.6,54,37,771,771,0,0,0,0,3,167,31,7,17,0,2,0,338,18514,11615,136,43,571,51800,24817,37.352268,-81.80478,BRADSHAW,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.352268,-81.80478&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",81
23,35.3,41.6,34.3,1045,1045,0,0,0,0,9,229,86,0,22,8,0,0,582,16616,9654,168,18,,37200,24818,37.602702,-81.624946,BRENTON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.602702,-81.624946&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",117
24,39.3,29.6,42.7,677,677,0,0,0,0,0,188,0,48,25,0,0,0,103,53333,17328,250,71,630,,24822,37.647094,-81.697294,CLEAR FORK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.647094,-81.697294&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",82
25,30.8,29.1,53.3,519,511,8,0,0,0,0,165,0,9,0,0,0,0,81,29271,13733,112,0,,43800,24823,37.67197,-81.751948,COAL MOUNTAIN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.67197,-81.751948&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",77
26,54.2,46.5,64.5,71,71,0,0,0,0,0,22,8,0,0,0,0,0,14,25714,29485,13,0,,,24826,37.293267,-81.623592,CUCUMBER,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.293267,-81.623592&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",97
27,44.5,44.4,44.7,1717,1700,0,0,0,0,9,398,61,54,18,0,27,0,191,48672,18906,587,0,,30400,24827,37.75327,-81.64148,CYCLONE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.75327,-81.64148&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",100
28,45.7,44.3,47.4,815,815,0,0,0,0,0,160,41,35,15,2,0,0,271,19712,11976,174,28,495,29200,24828,37.4989,-81.636635,DAVY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.4989,-81.636635&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",115
29,52.6,48.5,52.7,84,82,2,0,0,0,0,37,0,3,5,0,0,0,8,,24558,33,4,,32500,24830,37.323125,-81.506122,ELBERT,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.323125,-81.506122&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",116
30,58.8,56.7,58.9,136,112,24,0,0,0,0,21,0,18,0,6,0,0,48,23125,20906,48,0,,42500,24831,37.394105,-81.411521,ELKHORN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.394105,-81.411521&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",133
31,35.1,46,29.3,324,324,0,0,0,0,0,101,38,22,0,0,0,0,38,50893,14555,108,12,,67700,24834,37.547689,-81.630566,FANROCK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.547689,-81.630566&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",127
32,53.6,50.8,59.7,549,377,141,0,0,0,0,228,19,14,39,7,0,4,65,32105,15694,136,7,625,23500,24836,37.333874,-81.55862,GARY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.333874,-81.55862&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",116
33,41.9,47.1,38.6,1497,1497,0,0,0,0,0,424,107,54,0,18,0,0,418,30057,19518,363,63,539,57400,24839,37.560676,-81.738389,HANOVER,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.560676,-81.738389&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",82
34,61.3,61,61.5,89,89,0,0,0,0,0,26,0,0,11,0,0,0,25,,19352,14,0,,75400,24843,37.487144,-81.7101,HENSLEY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.487144,-81.7101&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",91
35,47.5,45.4,49.1,2029,2010,0,0,0,0,38,616,40,20,13,17,0,0,545,26429,17717,535,25,450,48400,24844,37.462452,-81.806627,IAEGER,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.462452,-81.806627&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",69
36,47.4,48.1,45.3,295,295,0,0,0,0,0,60,49,0,0,0,0,0,101,39018,24862,149,0,,,24845,37.517953,-81.817841,IKES FORK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.517953,-81.817841&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",90
37,54.9,59.3,54.5,164,164,0,0,0,0,5,49,23,0,0,0,0,0,61,,16248,46,10,,51000,24846,37.529522,-81.91286,ISABAN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.529522,-81.91286&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",98
38,28.8,35.2,28.7,302,302,0,0,0,0,0,147,0,0,0,0,0,0,154,13750,8301,86,44,,29200,24847,37.577109,-81.418416,ITMANN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.577109,-81.418416&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",137
39,52.3,48.8,52.8,234,214,20,0,0,0,4,54,38,0,8,0,0,0,115,13403,13253,68,15,,22300,24848,37.303745,-81.460677,JENKINJONES,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.303745,-81.460677&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",133
40,31.9,32.5,29,356,356,0,0,0,0,0,183,8,0,0,0,0,0,0,44716,22742,112,0,,,24849,37.665763,-81.542748,JESSE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.665763,-81.542748&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",142
41,44.8,37.8,50.4,915,913,0,0,0,0,0,204,39,33,0,0,0,0,392,25318,12194,178,2,,52700,24850,37.32097,-81.850505,JOLO,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.32097,-81.850505&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",93
42,42.3,44.7,36.8,427,427,0,0,0,0,0,92,29,29,0,0,0,0,61,28009,17012,113,15,,55000,24851,37.601371,-81.833685,JUSTICE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.601371,-81.833685&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",87
43,55.6,56.9,54.8,488,403,83,0,0,5,0,88,21,10,28,3,18,4,127,37955,24980,234,25,518,54100,24853,37.435447,-81.511823,KIMBALL,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.435447,-81.511823&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",171
44,21.3,21.6,7.8,390,283,0,0,0,0,0,112,0,11,0,11,0,0,70,,17662,139,0,642,,24854,37.736493,-81.572685,KOPPERSTON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.736493,-81.572685&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",145
45,56.1,58.2,52.8,790,790,0,0,0,0,0,176,25,12,33,76,0,0,89,40208,25590,216,0,514,80400,24857,37.67251,-81.660302,LYNCO,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.67251,-81.660302&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",87
46,60.5,62.1,59.7,379,379,0,0,0,27,0,132,0,0,15,15,0,0,112,21964,14568,51,0,,80400,24860,37.66017,-81.607608,MATHENY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.66017,-81.607608&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",119
47,44.4,60.1,39.6,229,85,144,0,0,0,15,52,17,0,8,0,11,0,104,,13276,52,10,,,24861,37.350951,-81.36313,MAYBEURY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.350951,-81.36313&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",120
48,56,53.6,58.8,400,400,0,0,0,0,12,93,6,0,0,0,0,0,88,25347,16907,85,10,380,51000,24862,37.469177,-81.964569,MOHAWK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.469177,-81.964569&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",88
49,40.8,53.3,35.8,241,241,0,0,0,0,0,63,6,12,0,0,0,0,129,16473,11784,69,0,,44500,24866,37.248133,-81.580323,NEWHALL,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.248133,-81.580323&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",131
50,42.8,36.5,45.8,347,347,0,0,0,0,0,127,27,0,7,0,0,0,0,,22389,183,23,,43000,24867,37.595764,-81.444714,NEW RICHMOND,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.595764,-81.444714&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",173
51,52.2,52.5,51.8,1156,700,453,0,0,0,0,344,41,31,43,21,0,0,315,37386,17094,343,59,542,33900,24868,37.43845,-81.389063,NORTHFORK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.43845,-81.389063&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",136
52,47.6,43.3,52.1,334,334,0,0,0,0,0,53,24,0,13,7,0,0,168,14261,13436,130,34,,55400,24869,37.562684,-81.838107,NORTH SPRING,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.562684,-81.838107&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",89
53,44.1,40.7,47,2590,2509,0,0,0,29,0,704,170,90,92,75,0,0,544,30969,20890,883,72,511,59800,24870,37.765445,-81.510219,OCEANA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.765445,-81.510219&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",140
54,52.8,52.9,48.9,255,255,0,0,0,0,0,51,37,0,0,8,0,0,75,25179,13322,74,26,,30600,24871,37.359301,-81.468304,PAGETON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.359301,-81.468304&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",126
55,41.9,40.6,45.2,647,647,0,0,0,0,0,113,17,13,9,0,0,0,342,15513,11394,94,10,608,28100,24872,37.449369,-81.920479,PANTHER,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.449369,-81.920479&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",95
56,49.5,49.6,48.6,343,343,0,0,0,0,0,79,30,9,45,0,0,13,29,30000,34981,140,11,,,24873,37.366148,-81.878193,PAYNESVILLE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.366148,-81.878193&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",91
57,48,46.5,54.7,2846,2804,37,0,0,1,18,685,76,72,96,76,47,0,471,35517,19809,876,77,669,82800,24874,37.542528,-81.555341,PINEVILLE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.542528,-81.555341&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",158
58,41,33.9,44,605,563,42,0,0,0,0,179,29,23,0,0,0,0,230,23550,10033,105,24,,,24878,37.439308,-81.625265,PREMIER,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.439308,-81.625265&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",112
59,39.6,21.8,42.9,695,680,0,0,0,0,0,61,20,0,7,0,0,0,400,19178,9642,197,9,,27000,24879,37.313896,-81.758686,RAYSAL,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.313896,-81.758686&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",81
60,37.9,9.8,69.2,346,346,0,0,0,0,0,64,0,45,0,0,0,0,223,24111,8282,0,0,,38000,24880,37.65141,-81.530693,ROCK VIEW,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.65141,-81.530693&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",165
61,41.8,41.8,45.1,374,374,0,0,0,0,0,111,13,11,0,10,0,0,126,31833,14903,94,0,,24000,24881,37.431342,-81.684596,RODERFIELD,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.431342,-81.684596&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",99
62,44.3,41.6,44.8,476,476,0,0,0,0,13,212,0,0,0,0,0,0,21,28654,12312,155,83,,40500,24882,37.625597,-81.766,SIMON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.625597,-81.766&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",81
63,32.9,34.3,32.3,442,442,0,0,0,2,0,149,0,2,7,0,0,0,187,41042,11711,94,6,,24800,24884,37.23047,-81.604088,SQUIRE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.23047,-81.604088&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",134
64,,,,15,15,0,0,0,0,0,0,7,0,0,0,0,0,0,,,0,0,,,24887,37.373345,-81.404173,SWITCHBACK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.373345,-81.404173&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",134
65,33.8,36,29.9,125,113,3,0,0,2,0,10,6,17,14,0,0,0,38,,18780,36,0,,42500,24888,37.392804,-81.483252,THORPE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.392804,-81.483252&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",150
66,43.2,43.9,35.9,1435,1422,13,0,0,0,16,508,99,15,8,22,0,0,683,21940,13634,349,39,515,32200,24892,37.32694,-81.687785,WAR,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.32694,-81.687785&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",103
67,55.6,63.3,55.1,328,328,0,0,0,0,11,81,0,10,6,3,0,0,105,24005,10449,45,0,,49300,24894,37.274965,-81.713671,WARRIORMINE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.274965,-81.713671&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",94
68,30,43.4,,109,109,0,0,0,0,0,75,0,0,0,0,0,0,20,,21562,55,0,,,24898,37.593853,-81.610128,WYOMING,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.593853,-81.610128&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",131
69,44,44.7,42.5,8979,8410,279,0,119,87,21,1991,255,251,1413,591,301,135,1423,45608,27892,3902,197,780,161900,24901,37.855406,-80.451557,LEWISBURG,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.855406,-80.451557&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",75
70,42.4,45.1,41.5,5608,5101,370,0,20,149,34,1329,410,228,286,163,30,8,814,33797,17590,1877,167,615,86400,24910,37.750526,-80.648133,ALDERSON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.750526,-80.648133&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",67
71,52.5,39.2,54.6,598,598,0,0,0,0,12,150,47,25,65,45,0,0,59,29761,24556,237,3,725,86100,24915,38.465457,-79.77717,ARBOVALE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.465457,-79.77717&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",26
72,47.5,46.9,47.6,717,717,0,0,0,0,26,197,44,39,0,0,0,0,136,48485,17993,381,34,,87900,24916,37.828599,-80.581103,ASBURY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.828599,-80.581103&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",78
73,39.3,43.1,38.2,1728,1728,0,0,0,0,12,312,162,4,105,79,0,0,111,42837,17373,720,40,570,115300,24918,37.522173,-80.74531,BALLARD,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.522173,-80.74531&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",157
74,45.4,47.1,45.1,332,328,2,0,0,0,0,157,31,12,15,0,0,2,70,,21505,164,22,425,64200,24920,38.580079,-79.704212,BARTOW,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.580079,-79.704212&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",59
75,43.2,43.4,32.8,348,348,0,0,0,0,0,130,0,24,9,0,0,0,0,47222,19639,164,13,571,150000,24924,38.201314,-80.16489,BUCKEYE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.201314,-80.16489&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",49
